6.35	-78.0
8.00	-75.0
10	-70.4
13	-63.4
16	-56.7
20	-50.5
25	-44.7
32	-39.4
40	-34.6
51	-30.2
64	-26.2
81	-22.5
102	-19.5
128	-16.1
161	-13.4
203	-10.9
256	-8.6
323	-6.6
406	-4.8
512	-3.2
645	-1.9
813	-0.8
1024	0.0
1290	0.6
1625	1.0
2048	1.2
2580	1.3
3251	1.2
4096	1.0
5161	0.5
6502	-0.1
8192	-1.1
10321	-2.5
13004	-4.3
16384	-6.6
20643	-9.3
